Year,Month,Day,Time,Weekday,Text
2019,11,16,00:30:01,5,RT @mkolken: I'm not a Trump voter and oppose many (most?) of his policies. That said, anyone with any intellectual honesty can see that th…
2019,11,16,00:30:01,5,RT @DavidMelEdwards: RT @Peteadams8: Cause and Effect nominated for the Top 50 Best Indie Books 2019 Crime/Thriller section.  Please can I…
2019,11,16,00:30:01,5,RT @Shnrch33: This is CRAZY!! I’m so glad the Americans people can see what a Schiff show this is! It’s a complete circus &amp; so apparent wha…
2019,11,16,00:30:01,5,RT @NewAmericanLd: By launching @fairfightaction and @faircount and working tirelessly to defeat voter suppression, @staceyabrams has becom…
2019,11,16,00:30:01,5,@JRubinBlogger Leftist, Bolshevik, feminist, anti male, anti white. US population 300 million. 100,000 who cares. T… https://t.co/jpcpb3wdS2
2019,11,16,00:30:01,5,RT @PJAxemurderer: the voting age should be the age of the youngest person in the US in prison as an adult, which is 12 i am pretty sure, i…
2019,11,16,00:30:01,5,@ActuallyaDino Two of my professors were married the whole time they worked at my law school but their colleagues a… https://t.co/RCP1gLeRpl
2019,11,16,00:30:01,5,RT @NamjoonsTrouble: Alrighty moots it’s the final stretch!! Pls take a sec and nominate me in the comments on her post! Thanks a bunch! Y’…
2019,11,16,00:30:01,5,RT @politico: It’s beginning to feel a lot like…impeachment? There’s no confirmed timeline for a vote, but @MZanona sees signs that things…
2019,11,16,00:30:01,5,RT @JimMFelton: If anyone is still wondering whether to vote Tory, here's renowned shit Tommy Robinson on Russia Today endorsing Boris John…
2019,11,16,00:30:01,5,RT @btsvotingteam01: Remember that AMAs is important too!#PowerfulAAArmys let’s get it!Tutorial: https://t.co/IuVKtJ107OVote Here: htt…
2019,11,16,00:30:01,5,BC: Two things are infinite.  The universe and _____.WC: Hotel room BiblesVote on this Pair to help teach our AI… https://t.co/elPbE89Pps
2019,11,16,00:30:02,5,RT @TinFoilAwards: Time for the next group of four, but first we say goodbye to Stephanie Seneff, who does not qualify for the 2020 tournam…
2019,11,16,00:30:02,5,RT @btsvotingteam: #PowerfulAAArmys take note that:• AMAs will end on Nov. 20.• AAA will end on Nov. 22.BTS (@BTS_twt) only has ARMYs…
2019,11,16,00:30:02,5,Que paso con las AFP las isapres las jubilaciones huenones cuantas políticos de mierda bajen sus sueldos hasta cuan… https://t.co/0ALT3FGkoY
2019,11,16,00:30:02,5,It’s One Thing to Say You’re Pro-Life. But Do You Vote Pro-Life? https://t.co/eCrOGmISc0
2019,11,16,00:30:02,5,RT @Phillip2020Vote: @realDonaldTrump @EddieRispone Again- Louisiana if you don’t want health insurance vote @EddieRispone for Governor.…
2019,11,16,00:30:02,5,RT @MakinMyHairGray: Check this out!!! Be careful and pay attention when voting!! https://t.co/5uIRsiSw4X
2019,11,16,00:30:02,5,Can. Not. Imagine. #DoSomething #GunReformNow
2019,11,16,00:30:02,5,Two Republican state Senators had similar reactions to an Albany Times Union report.It detailed an accusation the… https://t.co/j6WioUMnQs
